iter	Passed	Remaining
595	2157	1462
596	2160	1458
597	2164	1454
598	2168	1451
599	2172	1448
600	2176	1444
601	2179	1440
602	2182	1437
603	2185	1433
604	2190	1429
605	2193	1426
606	2196	1422
607	2200	1418
608	2204	1415
609	2208	1411
610	2211	1408
611	2214	1404
612	2218	1400
613	2221	1396
614	2224	1392
615	2228	1389
616	2231	1385
617	2235	1381
618	2238	1377
619	2242	1374
620	2245	1370
621	2249	1366
622	2252	1363
623	2256	1359
624	2258	1355
625	2262	1351
626	2266	1348
627	2269	1344
628	2273	1340
629	2276	1337
630	2279	1333
631	2283	1329
632	2287	1326
633	2290	1322
634	2294	1318
635	2297	1314
636	2300	1311
637	2303	1307
638	2307	1303
639	2310	1299
640	2314	1296
641	2317	1292
642	2321	1288
643	2324	1285
644	2327	1281
645	2331	1277
646	2334	1273
647	2338	1270
648	2341	1266
649	2344	1262
650	2347	1258
651	2351	1255
652	2354	1251
653	2357	1247
654	2360	1243
655	2364	1239
656	2367	1236
657	2371	1232
658	2374	1228
659	2378	1225
660	2381	1221
661	2385	1218
662	2389	1214
663	2392	1210
664	2395	1206
665	2399	1203
666	2402	1199
667	2406	1195
668	2409	1192
669	2412	1188
670	2417	1185
671	2420	1181
672	2424	1177
673	2427	1174
674	2432	1170
675	2435	1167
676	2439	1163
677	2443	1160
678	2447	1157
679	2451	1153
680	2455	1150
681	2459	1146
682	2463	1143
683	2467	1139
684	2471	1136
685	2475	1132
686	2478	1129
687	2482	1125
688	2486	1122
689	2490	1118
690	2493	1115
691	2497	1111
692	2501	1108
693	2504	1104
694	2508	1100
695	2511	1097
696	2514	1093
697	2518	1089
698	2521	1085
699	2525	1082
700	2528	1078
701	2531	1074
702	2535	1071
703	2538	1067
704	2541	1063
705	2545	1060
706	2549	1056
707	2552	1052
708	2555	1049
709	2559	1045
710	2563	1041
711	2566	1038
712	2569	1034
713	2572	1030
714	2576	1026
715	2580	1023
716	2582	1019
717	2586	1015
718	2589	1012
719	2593	1008
720	2597	1005
721	2601	1001
722	2605	998
723	2608	994
724	2612	990
725	2615	987
726	2619	983
727	2622	979
728	2625	975
729	2628	972
730	2632	968
731	2635	964
732	2638	961
733	2642	957
734	2646	954
735	2649	950
736	2652	946
737	2656	943
738	2660	939
739	2663	935
740	2666	932
741	2670	928
742	2673	924
743	2677	921
744	2680	917
745	2684	913
746	2687	910
747	2690	906
748	2694	902
749	2697	899
750	2700	895
751	2704	891
